N,Repeat1,Repeat2,Repeat3,Repeat4,Repeat5,Repeat6,Repeat7,Repeat8,Repeat9,Repeat10
20000,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0
40000,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.0,0.001,0.001
60000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.001
80000,0.002,0.001,0.001,0.002,0.001,0.002,0.002,0.001,0.002,0.003
100000,0.002,0.002,0.001,0.002,0.001,0.001,0.002,0.002,0.001,0.002
120000,0.002,0.001,0.002,0.002,0.002,0.07,0.001,0.001,0.0,0.001
140000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001
160000,0.002,0.001,0.002,0.001,0.001,0.002,0.001,0.001,0.002,0.001
180000,0.001,0.002,0.002,0.001,0.002,0.001,0.002,0.001,0.002,0.002
200000,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.002
220000,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003
240000,0.005,0.004,0.106,0.021,0.003,0.002,0.004,0.003,0.002,0.003
260000,0.003,0.003,0.002,0.003,0.003,0.002,0.003,0.003,0.002,0.003
280000,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.003
300000,0.004,0.003,0.084,0.004,0.004,0.003,0.004,0.003,0.004,0.003
320000,0.004,0.004,0.006,0.006,0.006,0.005,0.006,0.006,0.006,0.006
340000,0.006,0.007,0.007,0.006,0.007,0.006,0.006,0.005,0.006,0.005
360000,0.005,0.004,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.005
380000,0.004,0.005,0.005,0.004,0.005,0.004,0.01,0.01,0.221,0.005
400000,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.005,0.005
