N,Repeat1,Repeat2,Repeat3,Repeat4,Repeat5,Repeat6,Repeat7,Repeat8,Repeat9,Repeat10
20000,0.251,0.394,0.12,0.111,0.09,0.099,0.091,0.087,0.086,0.086
40000,0.386,0.36,0.359,0.384,0.344,0.346,0.389,0.344,0.366,0.38
60000,0.842,0.822,0.844,0.768,0.79,0.806,0.787,0.766,0.769,0.765
80000,1.39,1.393,1.373,1.391,1.483,1.444,1.387,1.365,1.37,1.367
100000,2.186,2.174,2.184,2.183,2.178,2.313,2.187,2.177,2.2,2.165
120000,3.144,3.125,3.129,3.149,3.143,3.2,3.259,3.143,3.147,3.147
140000,4.248,4.252,4.289,4.32,4.293,4.318,4.306,4.288,4.297,4.299
160000,6.361,6.502,5.835,5.639,5.625,6.32,6.254,5.861,6.149,6.163
180000,7.471,7.105,7.81,7.265,7.198,7.209,7.386,7.169,7.157,7.126
200000,8.797,9.05,8.796,8.899,8.826,8.835,8.807,8.804,8.801,8.826
220000,10.782,10.674,10.722,10.667,11.149,10.828,10.759,10.864,10.882,10.899
240000,12.89,12.892,12.906,13.061,12.913,13.004,12.859,12.915,12.832,12.875
260000,15.128,15.788,17.202,17.203,19.103,16.727,16.134,16.75,15.402,15.682
280000,44.488,46.489,46.854,46.325,45.489,45.731,46.273,45.977,45.397,46.242
300000,82.135,85.372,85.957,85.726,88.828,85.296,85.741,84.571,84.154,86.447
320000,126.168,124.817,125.874,146.131,134.291,125.638,126.94,122.6,122.519,123.611
340000,165.238,165.942,165.759,167.202,166.909,166.089,165.21,169.201,170.173,167.947
360000,214.685,209.696,207.984,207.471,208.804,208.188,208.242,208.663,209.132,208.305
380000,254.515,254.143,255.904,255.814,255.132,255.259,234.431,197.071,266.126,260.439
400000,252.772,234.457,308.12,305.086,252.932,250.849,305.538,305.677,244.066,233.339
