N,Repeat1,Repeat2,Repeat3,Repeat4,Repeat5,Repeat6,Repeat7,Repeat8,Repeat9,Repeat10
20000,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0
40000,0.041,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.0
60000,0.001,0.0,0.011,0.001,0.0,0.001,0.0,0.0,0.002,0.0
80000,0.001,0.0,0.002,0.012,0.001,0.0,0.001,0.0,0.001,0.0
100000,0.001,0.0,0.001,0.001,0.002,0.001,0.002,0.001,0.002,0.002
120000,0.002,0.002,0.001,0.002,0.002,0.002,0.002,0.001,0.002,0.002
140000,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.002
160000,0.002,0.003,0.002,0.003,0.003,0.002,0.003,0.002,0.003,0.031
180000,0.002,0.002,0.001,0.001,0.002,0.002,0.001,0.002,0.001,0.002
200000,0.001,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.002,0.002
220000,0.002,0.002,0.002,0.002,0.002,0.002,0.072,0.003,0.002,0.003
240000,0.002,0.003,0.003,0.002,0.003,0.002,0.002,0.003,0.002,0.03
260000,0.002,0.003,0.002,0.003,0.003,0.002,0.003,0.002,0.003,0.002
280000,0.047,0.004,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003
300000,0.004,0.057,0.004,0.003,0.003,0.077,0.004,0.004,0.003,0.004
320000,0.003,0.004,0.004,0.004,0.003,0.067,0.003,0.004,0.074,0.005
340000,0.046,0.004,0.006,0.006,0.006,0.007,0.007,0.007,0.007,0.007
360000,0.007,0.008,0.008,0.007,0.007,0.007,0.007,0.009,0.009,0.008
380000,0.009,0.093,0.022,0.006,0.005,0.005,0.004,0.004,0.005,0.004
400000,0.043,0.005,0.004,0.029,0.014,0.005,0.005,0.005,0.005,0.004
