N,Repeat1,Repeat2,Repeat3,Repeat4,Repeat5,Repeat6,Repeat7,Repeat8,Repeat9,Repeat10
20000,440.002,0.002,0.001,0.002,0.002,0.001,0.001,0.0,0.0,0.001
40000,440.0,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.0,0.001
60000,440.001,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.001
80000,440.001,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.002
100000,440.001,0.002,0.001,0.002,0.001,0.002,0.001,0.002,0.002,0.001
120000,440.002,0.002,0.001,0.002,0.002,0.002,0.001,0.002,0.017,0.0
140000,440.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
160000,440.002,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001
180000,440.002,0.001,0.002,0.001,0.002,0.001,0.002,0.001,0.002,0.001
200000,440.001,0.002,0.003,0.004,0.003,0.003,0.07,0.002,0.002,0.002
220000,440.002,0.003,0.002,0.003,0.002,0.003,0.002,0.003,0.002,0.003
240000,440.002,0.003,0.003,0.003,0.002,0.002,0.003,0.003,0.003,0.002
260000,440.003,0.003,0.003,0.003,0.074,0.021,0.005,0.004,0.005,0.005
280000,440.006,0.007,0.006,0.006,0.006,0.007,0.006,0.006,0.006,0.006
300000,440.006,0.007,0.006,0.007,0.007,0.006,0.007,0.006,0.007,0.007
320000,440.007,0.007,0.007,0.007,0.127,0.006,0.007,0.004,0.005,0.004
340000,440.004,0.004,0.004,0.004,0.005,0.004,0.004,0.004,0.004,0.004
360000,440.004,0.005,0.004,0.004,0.005,0.004,0.004,0.004,0.102,0.004
380000,440.005,0.004,0.005,0.005,0.004,0.062,0.006,0.004,0.005,0.007
400000,440.01,0.008,0.007,0.009,0.009,0.01,0.009,0.01,0.01,0.009
