N,Repeat1,Repeat2,Repeat3,Repeat4,Repeat5,Repeat6,Repeat7,Repeat8,Repeat9,Repeat10
20000,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40000,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0
60000,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0
80000,0.001,0.001,0.0,0.0,0.001,0.0,0.001,0.0,0.001,0.0
100000,0.001,0.001,0.0,0.001,0.0,0.001,0.001,0.0,0.001,0.0
120000,0.001,0.001,0.0,0.001,0.001,0.0,0.001,0.001,0.0,0.001
140000,0.001,0.001,0.059,0.001,0.001,0.001,0.001,0.001,0.001,0.001
160000,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.001,0.001
180000,0.001,0.002,0.001,0.002,0.002,0.002,0.073,0.002,0.002,0.002
200000,0.003,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.002,0.002
220000,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003
240000,0.002,0.002,0.003,0.002,0.003,0.002,0.002,0.003,0.069,0.002
260000,0.003,0.003,0.002,0.003,0.003,0.002,0.003,0.039,0.013,0.002
280000,0.007,0.004,0.003,0.04,0.003,0.003,0.004,0.004,0.004,0.004
300000,0.007,0.008,0.006,0.005,0.004,0.005,0.004,0.005,0.006,0.01
320000,0.009,0.01,0.01,0.009,0.01,0.01,0.009,0.01,0.009,0.108
340000,0.023,0.004,0.004,0.005,0.004,0.004,0.004,0.004,0.004,0.046
360000,0.004,0.005,0.004,0.042,0.005,0.005,0.004,0.005,0.004,0.004
380000,0.005,0.004,0.005,0.005,0.067,0.004,0.005,0.004,0.051,0.023
400000,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.074,0.005
